CODES,BRANCH,KPI, ACTUAL (MONTH) , ACTUAL (YTD) , BUDGET (MONTH) , BUDGET (YTD) , % VARIANCE (MONTH) , % VARIANCE (YTD) ,MONTH
006,THIKA,DISBURSEMENTS," 1,177.85 "," 4,319.65 "," 23,027.27 "," 46,054.53 ",-95%,,FEB
006,THIKA,TRADE FINANCE," 29,000.00 "," 152,490.31 "," 157,000.00 "," 314,000.00 ",-82%,,FEB
006,THIKA,FX INCOME," 273,316.00 "," 298,284.00 "," 34,000.00 "," 68,000.00 ",704%,,FEB
006,THIKA,NEW ACCOUNTS, 46.00 , 98.00 , 66.00 , 132.00 ,-30%,,FEB
006,THIKA,NFI, 197.97 , 603.15 ," 1,074.07 "," 2,152.24 ",-82%,,FEB
006,THIKA,PBT," 3,193.77 "," 2,760.22 "," 3,193.47 "," 3,587.65 ",0%,,FEB
007,RUIRU,NEW DEPOSITS," 5,083.69 "," 7,688.29 "," 26,176.96 "," 52,353.92 ",-81%,,FEB
007,RUIRU,CUMULATIVE DEPOSITS,," 202,777.70 ",," 223,218.75 ",0%,,FEB
007,RUIRU,GROSS LOAN BOOK, -   ," 133,862.48 ",," 171,926.70 ",0%,,FEB
007,RUIRU,DISBURSEMENTS, 880.02 ," 4,707.57 "," 27,721.20 "," 55,442.40 ",-97%,,FEB
007,RUIRU,TRADE FINANCE," 49,000.00 "," 91,000.00 "," 260,000.00 "," 520,000.00 ",-81%,,FEB
007,RUIRU,FX INCOME, -   ," 1,480.00 "," 18,000.00 "," 36,000.00 ",-100%,,FEB
007,RUIRU,NEW ACCOUNTS, 26.00 , 67.00 , 76.00 , 152.00 ,-66%,,FEB
007,RUIRU,NFI, 151.08 , 365.44 ," 1,227.07 "," 2,453.71 ",-88%,,FEB
007,RUIRU,PBT, (891.89)," (1,081.52)", (906.55)," (1,790.03)",2%,,FEB
008,KITENGELA,NEW DEPOSITS," (11,143.85)", 64.09 ," 25,398.77 "," 50,797.55 ",-144%,,FEB
008,KITENGELA,CUMULATIVE DEPOSITS,," 334,659.68 ",," 365,151.09 ",0%,,FEB
008,KITENGELA,GROSS LOAN BOOK, -   ," 327,661.09 ",," 269,034.58 ",0%,,FEB
008,KITENGELA,DISBURSEMENTS," 3,042.28 "," 8,307.82 "," 26,748.47 "," 53,496.93 ",-89%,,FEB
008,KITENGELA,TRADE FINANCE," 129,132.00 "," 245,632.00 "," 186,000.00 "," 372,000.00 ",-31%,,FEB
008,KITENGELA,FX INCOME," 77,835.00 "," 162,988.00 "," 78,000.00 "," 156,000.00 ",0%,,FEB
008,KITENGELA,NEW ACCOUNTS, 99.00 , 171.00 , 98.00 , 196.00 ,1%,,FEB
008,KITENGELA,NFI, 305.94 , 703.33 ," 1,155.37 "," 2,309.03 ",-74%,,FEB
008,KITENGELA,PBT," (2,513.57)"," (4,076.41)"," (2,516.24)"," (5,017.03)",0%,,FEB
009,KAYOLE,NEW DEPOSITS," 7,452.92 "," 6,730.41 "," 22,176.96 "," 44,353.92 ",-66%,,FEB
009,KAYOLE,CUMULATIVE DEPOSITS,," 45,803.42 ",," 68,737.12 ",0%,,FEB
009,KAYOLE,GROSS LOAN BOOK, -   ," 211,411.17 ",," 223,684.11 ",0%,,FEB
009,KAYOLE,DISBURSEMENTS," 8,599.83 "," 12,553.35 "," 22,721.20 "," 45,442.40 ",-62%,,FEB
009,KAYOLE,TRADE FINANCE," 4,000.00 "," 14,000.00 "," 34,000.00 "," 68,000.00 ",-88%,,FEB
009,KAYOLE,FX INCOME, -   ," 7,781.00 "," 2,000.00 "," 4,000.00 ",-100%,,FEB
009,KAYOLE,NEW ACCOUNTS, 38.00 , 84.00 , 73.00 , 146.00 ,-48%,,FEB
009,KAYOLE,NFI, 434.99 , 659.55 , 854.06 ," 1,705.24 ",-49%,,FEB
009,KAYOLE,PBT," 2,276.33 "," 1,901.48 "," 2,282.48 "," 3,259.12 ",0%,,FEB
010,ELDORET,NEW DEPOSITS," 6,991.57 "," (1,352.41)"," 27,376.96 "," 54,753.92 ",-74%,,FEB
010,ELDORET,CUMULATIVE DEPOSITS,," 221,652.84 ",," 206,162.45 ",0%,,FEB
010,ELDORET,GROSS LOAN BOOK, -   ," 141,540.69 ",," 163,661.96 ",0%,,FEB
010,ELDORET,DISBURSEMENTS," 2,091.50 "," 8,821.31 "," 29,221.20 "," 58,442.40 ",-93%,,FEB
010,ELDORET,TRADE FINANCE," 837,351.00 "," 1,151,396.00 "," 828,000.00 "," 1,656,000.00 ",1%,,FEB
010,ELDORET,FX INCOME," 1,289.00 "," 2,379.00 "," 59,000.00 "," 118,000.00 ",-98%,,FEB
010,ELDORET,NEW ACCOUNTS, 83.00 , 163.00 , 91.00 , 182.00 ,-9%,,FEB
010,ELDORET,NFI," 1,125.41 "," 1,811.67 "," 1,904.76 "," 3,812.98 ",-41%,,FEB
010,ELDORET,PBT, (421.89), (157.12), (416.17)," (1,343.20)",-1%,,FEB
011,MBALE,NEW DEPOSITS," 2,359.16 "," (8,235.31)"," 14,955.15 "," 29,910.29 ",-84%,,FEB
011,MBALE,CUMULATIVE DEPOSITS,," 29,672.36 ",," 36,563.02 ",0%,,FEB
011,MBALE,GROSS LOAN BOOK, -   ," 68,534.20 ",," 81,073.39 ",0%,,FEB
011,MBALE,DISBURSEMENTS," 2,744.83 "," 5,562.68 "," 13,693.93 "," 27,387.87 ",-80%,,FEB
011,MBALE,TRADE FINANCE," 158,000.00 "," 168,789.14 "," 118,000.00 "," 236,000.00 ",34%,,FEB
011,MBALE,FX INCOME, -   , 790.00 ," 26,000.00 "," 52,000.00 ",-100%,,FEB
011,MBALE,NEW ACCOUNTS, 39.00 , 74.00 , 58.00 , 116.00 ,-33%,,FEB
011,MBALE,NFI, 342.08 , 515.20 , 641.43 ," 1,279.43 ",-47%,,FEB
011,MBALE,PBT, 282.76 , (460.72), 277.98 , (226.76),2%,,FEB
012,BIASHARA STREET,NEW DEPOSITS," (26,322.64)"," (20,688.23)"," 26,710.29 "," 53,420.59 ",-199%,,FEB
012,BIASHARA STREET,CUMULATIVE DEPOSITS,," 684,472.01 ",," 754,005.65 ",0%,,FEB
012,BIASHARA STREET,GROSS LOAN BOOK, -   ," 401,393.34 ",," 372,812.86 ",0%,,FEB
012,BIASHARA STREET,DISBURSEMENTS," 3,243.10 "," 5,852.06 "," 28,387.87 "," 56,775.73 ",-89%,,FEB
012,BIASHARA STREET,TRADE FINANCE," 2,210,495.74 "," 4,397,016.00 "," 5,552,000.00 "," 11,104,000.00 ",-60%,,FEB
012,BIASHARA STREET,FX INCOME," 77,918.00 "," 797,755.00 "," 153,000.00 "," 306,000.00 ",-49%,,FEB
012,BIASHARA STREET,NEW ACCOUNTS, 45.00 , 82.00 , 98.00 , 196.00 ,-54%,,FEB
012,BIASHARA STREET,NFI," 2,449.18 "," 4,903.64 "," 6,542.00 "," 13,082.88 ",-63%,,FEB
012,BIASHARA STREET,PBT," 4,822.54 "," 7,607.12 "," 4,840.79 "," 3,503.39 ",0%,,FEB
013,RONGAI,NEW DEPOSITS, 481.54 ," 6,661.59 "," 19,691.31 "," 39,382.61 ",-98%,,FEB
013,RONGAI,CUMULATIVE DEPOSITS,," 85,116.60 ",," 66,895.65 ",0%,,FEB
013,RONGAI,GROSS LOAN BOOK, -   ," 165,258.48 ",," 170,420.62 ",0%,,FEB
013,RONGAI,DISBURSEMENTS," 5,511.63 "," 11,828.26 "," 19,614.13 "," 39,228.27 ",-72%,,FEB
013,RONGAI,TRADE FINANCE," 56,980.00 "," 114,980.00 "," 91,000.00 "," 182,000.00 ",-37%,,FEB
013,RONGAI,FX INCOME," 6,281.00 "," 7,213.00 "," 25,000.00 "," 50,000.00 ",-75%,,FEB
013,RONGAI,NEW ACCOUNTS, 57.00 , 109.00 , 68.00 , 136.00 ,-16%,,FEB
013,RONGAI,NFI, 262.83 , 536.14 , 853.50 ," 1,708.96 ",-69%,,FEB
013,RONGAI,PBT," 2,026.13 ", 256.57 ," 2,023.33 ", 733.04 ,0%,,FEB
014,WESTLANDS,NEW DEPOSITS," 1,650.70 "," 2,090.22 "," 23,066.67 "," 46,133.33 ",-93%,,FEB
014,WESTLANDS,CUMULATIVE DEPOSITS,," 253,227.98 ",," 253,469.82 ",0%,,FEB
014,WESTLANDS,GROSS LOAN BOOK, -   ," 223,154.90 ",," 248,625.03 ",0%,,FEB
014,WESTLANDS,DISBURSEMENTS," 2,663.95 "," 9,639.15 "," 23,833.33 "," 47,666.67 ",-89%,,FEB
014,WESTLANDS,TRADE FINANCE," 738,718.02 "," 3,269,893.12 "," 1,211,000.00 "," 2,422,000.00 ",-39%,,FEB
014,WESTLANDS,FX INCOME," 6,832.00 "," 7,702.00 "," 12,000.00 "," 24,000.00 ",-43%,,FEB
014,WESTLANDS,NEW ACCOUNTS, 29.00 , 67.00 , 65.00 , 130.00 ,-55%,,FEB
014,WESTLANDS,NFI, 900.67 ," 3,704.11 "," 2,001.37 "," 4,000.73 ",-55%,,FEB
014,WESTLANDS,PBT, (647.55)," 1,104.96 ", (659.05), 359.13 ,2%,,FEB
015,MACHAKOS,NEW DEPOSITS," 7,158.31 "," 9,010.67 "," 19,776.96 "," 39,553.92 ",-64%,,FEB
015,MACHAKOS,CUMULATIVE DEPOSITS,," 37,305.20 ",," 23,031.17 ",0%,,FEB
015,MACHAKOS,GROSS LOAN BOOK, -   ," 154,975.63 ",," 168,438.30 ",0%,,FEB
015,MACHAKOS,DISBURSEMENTS," 4,781.09 "," 5,516.39 "," 19,721.20 "," 39,442.40 ",-76%,,FEB
015,MACHAKOS,TRADE FINANCE," 63,880.00 "," 86,120.00 "," 58,000.00 "," 116,000.00 ",10%,,FEB
015,MACHAKOS,FX INCOME," 3,290.00 "," 4,236.00 "," 2,000.00 "," 4,000.00 ",65%,,FEB
015,MACHAKOS,NEW ACCOUNTS, 49.00 , 90.00 , 61.00 , 122.00 ,-20%,,FEB
015,MACHAKOS,NFI, 287.51 , 396.56 , 741.93 ," 1,482.56 ",-61%,,FEB
015,MACHAKOS,PBT, 52.91 , (848.06), 36.31 , (70.68),46%,,FEB
016,NAKURU,NEW DEPOSITS," (18,174.09)"," (12,090.92)"," 22,421.81 "," 44,843.63 ",-181%,,FEB
016,NAKURU,CUMULATIVE DEPOSITS,," 144,800.81 ",," 186,271.37 ",0%,,FEB
016,NAKURU,GROSS LOAN BOOK, -   ," 177,331.41 ",," 182,396.94 ",0%,,FEB
016,NAKURU,DISBURSEMENTS," 5,774.60 "," 13,164.11 "," 23,027.27 "," 46,054.53 ",-75%,,FEB
016,NAKURU,TRADE FINANCE," 253,781.00 "," 539,520.00 "," 498,000.00 "," 996,000.00 ",-49%,,FEB
016,NAKURU,FX INCOME," 42,019.00 "," 201,562.00 "," 289,000.00 "," 578,000.00 ",-85%,,FEB
016,NAKURU,NEW ACCOUNTS, 33.00 , 99.00 , 56.00 , 112.00 ,-41%,,FEB
016,NAKURU,NFI, 535.65 ," 1,152.92 "," 1,357.98 "," 2,715.46 ",-61%,,FEB
016,NAKURU,PBT, 621.11 ," 2,848.19 ", 622.61 ," 2,643.66 ",0%,,FEB
017,KENGELENI,NEW DEPOSITS," 9,840.49 "," (13,522.20)"," 18,288.48 "," 36,576.96 ",-46%,,FEB
017,KENGELENI,CUMULATIVE DEPOSITS,," 68,327.42 ",," 75,016.99 ",0%,,FEB
017,KENGELENI,GROSS LOAN BOOK, -   ," 151,043.39 ",," 163,811.86 ",0%,,FEB
017,KENGELENI,DISBURSEMENTS," 3,303.78 "," 5,624.06 "," 17,860.60 "," 35,721.20 ",-82%,,FEB
017,KENGELENI,TRADE FINANCE," 132,911.00 "," 276,859.09 "," 164,000.00 "," 328,000.00 ",-19%,,FEB
017,KENGELENI,FX INCOME," 1,000.00 "," 1,000.00 "," 2,000.00 "," 4,000.00 ",-50%,,FEB
017,KENGELENI,NEW ACCOUNTS, 34.00 , 55.00 , 48.00 , 96.00 ,-29%,,FEB
017,KENGELENI,NFI, 383.09 , 706.18 , 813.60 ," 1,627.27 ",-53%,,FEB
017,KENGELENI,PBT, (556.77)," (1,662.59)", (563.54)," (1,277.52)",1%,,FEB
018,KISUMU,NEW DEPOSITS," 1,110.97 ", (295.50)," 23,643.63 "," 47,287.25 ",-95%,,FEB
018,KISUMU,CUMULATIVE DEPOSITS,," 32,209.88 ",," 38,069.82 ",0%,,FEB
018,KISUMU,GROSS LOAN BOOK, -   ," 170,586.62 ",," 178,213.41 ",0%,,FEB
018,KISUMU,DISBURSEMENTS," 5,067.82 "," 9,156.62 "," 24,554.53 "," 49,109.07 ",-79%,,FEB
018,KISUMU,TRADE FINANCE," 110,366.00 "," 227,757.00 "," 280,000.00 "," 560,000.00 ",-61%,,FEB
018,KISUMU,FX INCOME, 392.00 ," 24,862.00 "," 7,000.00 "," 14,000.00 ",-94%,,FEB
018,KISUMU,NEW ACCOUNTS, 178.00 , 254.00 , 108.00 , 216.00 ,65%,,FEB
018,KISUMU,NFI, 417.88 , 778.00 ," 1,150.34 "," 2,298.60 ",-64%,,FEB
018,KISUMU,PBT, 703.45 , 156.35 , 720.05 ," 1,034.48 ",-2%,,FEB
019,DIASPORAH,NEW DEPOSITS, 4.34 , 5.32 , -   , -   ,0%,,FEB
019,DIASPORAH,CUMULATIVE DEPOSITS,, 620.50 ,, 687.93 ,0%,,FEB
019,DIASPORAH,GROSS LOAN BOOK, -   , -   ,, -   ,0%,,FEB
019,DIASPORAH,DISBURSEMENTS, -   , -   , -   , -   ,0%,,FEB
019,DIASPORAH,TRADE FINANCE, -   , -   , -   , -   ,0%,,FEB
019,DIASPORAH,FX INCOME, -   , -   , -   , -   ,0%,,FEB
019,DIASPORAH,NEW ACCOUNTS, -   , -   , -   , -   ,0%,,FEB
019,DIASPORAH,NFI, -   , -   , 0.71 , 1.45 ,-100%,,FEB
019,DIASPORAH,PBT, (4.66), 1.26 , (5.66), (7.21),18%,,FEB
020,MTWAPA,NEW DEPOSITS," (1,156.89)"," 10,728.72 "," 30,401.60 "," 60,803.20 ",-104%,,FEB
020,MTWAPA,CUMULATIVE DEPOSITS,," 229,186.98 ",," 221,888.09 ",0%,,FEB
020,MTWAPA,GROSS LOAN BOOK, -   ," 156,329.06 ",," 166,950.68 ",0%,,FEB
020,MTWAPA,DISBURSEMENTS," 5,006.62 "," 5,620.15 "," 33,002.00 "," 66,004.00 ",-85%,,FEB
020,MTWAPA,TRADE FINANCE," 18,400.00 "," 18,400.00 "," 63,000.00 "," 126,000.00 ",-71%,,FEB
020,MTWAPA,FX INCOME," 175,972.00 "," 210,938.00 "," 99,000.00 "," 198,000.00 ",78%,,FEB
020,MTWAPA,NEW ACCOUNTS, 134.00 , 306.00 , 178.00 , 356.00 ,-25%,,FEB
020,MTWAPA,NFI, 472.43 , 655.52 ," 1,180.15 "," 2,361.29 ",-60%,,FEB
020,MTWAPA,PBT," (1,656.95)"," (2,783.72)"," (1,656.95)"," (3,761.73)",0%,,FEB
000,CENTRAL OFFICE,NEW DEPOSITS, -   , -   , -   , -   ,0%,,MAR
000,CENTRAL OFFICE,CUMULATIVE DEPOSITS,, -   ,, -   ,0%,,MAR
000,CENTRAL OFFICE,GROSS LOAN BOOK, -   , -   ,, -   ,0%,,MAR
000,CENTRAL OFFICE,DISBURSEMENTS, -   , -   , -   , -   ,0%,,MAR
000,CENTRAL OFFICE,TRADE FINANCE, -   , -   , -   , -   ,0%,,MAR
000,CENTRAL OFFICE,FX INCOME, -   ," 209,870.00 "," 33,000.00 "," 99,000.00 ",-100%,,MAR
000,CENTRAL OFFICE,NEW ACCOUNTS, -   , -   , -   , -   ,0%,,MAR
000,CENTRAL OFFICE,NFI, (64.93), 99.09 , 0.04 , 0.12 ,-153537%,,MAR
000,CENTRAL OFFICE,PBT," (28,583.16)"," (91,959.10)"," (28,564.81)"," (90,150.51)",0%,,MAR
001,TOM MBOYA,NEW DEPOSITS," 2,405.42 "," 9,959.76 "," 19,355.15 "," 58,065.44 ",-88%,,MAR
001,TOM MBOYA,CUMULATIVE DEPOSITS,," 488,583.33 ",," 477,097.90 ",0%,,MAR
001,TOM MBOYA,GROSS LOAN BOOK, -   ," 652,524.70 ",," 544,661.11 ",0%,,MAR
001,TOM MBOYA,DISBURSEMENTS," 15,772.87 "," 36,328.08 "," 19,193.93 "," 57,581.80 ",-18%,,MAR
001,TOM MBOYA,TRADE FINANCE," 1,757,933.00 "," 4,208,546.00 "," 1,350,000.00 "," 4,050,000.00 ",30%,,MAR
001,TOM MBOYA,FX INCOME," 128,656.00 "," 232,756.00 "," 2,000.00 "," 6,000.00 ",6333%,,MAR
001,TOM MBOYA,NEW ACCOUNTS, 30.00 , 164.00 , 85.00 , 255.00 ,-65%,,MAR
001,TOM MBOYA,NFI," 2,337.05 "," 5,321.53 "," 2,105.80 "," 6,290.14 ",11%,,MAR
001,TOM MBOYA,PBT," (2,458.94)"," (5,083.25)"," (2,458.94)"," (4,483.62)",0%,,MAR
002,LIKONI,NEW DEPOSITS, 915.82 ," (23,104.93)"," 19,755.15 "," 59,265.44 ",-95%,,MAR
002,LIKONI,CUMULATIVE DEPOSITS,," 50,028.11 ",," 58,704.70 ",0%,,MAR
002,LIKONI,GROSS LOAN BOOK, -   ," 91,434.31 ",," 128,331.71 ",0%,,MAR
002,LIKONI,DISBURSEMENTS," 2,719.04 "," 6,351.58 "," 19,693.93 "," 59,081.80 ",-86%,,MAR
002,LIKONI,TRADE FINANCE," 20,000.00 "," 39,000.00 "," 30,000.00 "," 90,000.00 ",-33%,,MAR
002,LIKONI,FX INCOME," 84,411.00 "," 118,314.00 "," 73,000.00 "," 219,000.00 ",16%,,MAR
002,LIKONI,NEW ACCOUNTS, 41.00 , 181.00 , 73.00 , 219.00 ,-44%,,MAR
002,LIKONI,NFI, 231.73 , 527.59 , 764.97 ," 2,278.16 ",-70%,,MAR
002,LIKONI,PBT, (740.87)," (2,977.66)", (740.87)," (2,874.12)",0%,,MAR
003,WOTE,NEW DEPOSITS," (1,498.49)"," 4,790.70 "," 17,110.29 "," 51,330.88 ",-109%,,MAR
003,WOTE,CUMULATIVE DEPOSITS,," 45,075.57 ",," 36,343.06 ",0%,,MAR
003,WOTE,GROSS LOAN BOOK, -   ," 101,932.50 ",," 136,368.05 ",0%,,MAR
003,WOTE,DISBURSEMENTS, 644.46 ," 4,560.82 "," 16,387.87 "," 49,163.60 ",-96%,,MAR
003,WOTE,TRADE FINANCE," 10,000.00 "," 25,000.00 "," 12,000.00 "," 36,000.00 ",-17%,,MAR
003,WOTE,FX INCOME, -   , -   ," 1,000.00 "," 3,000.00 ",-100%,,MAR
003,WOTE,NEW ACCOUNTS, 22.00 , 77.00 , 66.00 , 198.00 ,-67%,,MAR
003,WOTE,NFI, 90.31 , 273.98 , 678.95 ," 2,021.42 ",-87%,,MAR
003,WOTE,PBT," (1,115.26)"," (2,675.88)"," (1,116.94)"," (2,229.03)",0%,,MAR
004,LIMURU,NEW DEPOSITS, (243.40)," 1,180.99 "," 24,332.11 "," 72,996.32 ",-101%,,MAR
004,LIMURU,CUMULATIVE DEPOSITS,," 24,060.71 ",," 43,353.97 ",0%,,MAR
004,LIMURU,GROSS LOAN BOOK, -   ," 113,824.25 ",," 175,332.10 ",0%,,MAR
004,LIMURU,DISBURSEMENTS," 4,966.29 "," 8,634.95 "," 25,415.13 "," 76,245.40 ",-80%,,MAR
004,LIMURU,TRADE FINANCE," 7,000.00 "," 26,000.00 "," 87,000.00 "," 261,000.00 ",-92%,,MAR
004,LIMURU,FX INCOME," 27,984.00 "," 27,984.00 "," 1,000.00 "," 3,000.00 ",2698%,,MAR
004,LIMURU,NEW ACCOUNTS, 13.00 , 51.00 , 101.00 , 303.00 ,-87%,,MAR
004,LIMURU,NFI, 217.33 , 442.72 , 898.80 ," 2,689.81 ",-76%,,MAR
004,LIMURU,PBT," (1,667.24)", 191.76 ," (1,679.26)", 612.99 ,1%,,MAR
005,MOI AVENUE,NEW DEPOSITS," (15,003.21)"," (1,817.41)"," 33,221.81 "," 99,665.44 ",-145%,,MAR
005,MOI AVENUE,CUMULATIVE DEPOSITS,," 140,496.18 ",," 188,228.37 ",0%,,MAR
005,MOI AVENUE,GROSS LOAN BOOK, -   ," 344,933.02 ",," 382,055.99 ",0%,,MAR
005,MOI AVENUE,DISBURSEMENTS," 6,662.38 "," 16,828.98 "," 36,527.27 "," 109,581.80 ",-82%,,MAR
005,MOI AVENUE,TRADE FINANCE," 694,006.42 "," 2,380,550.39 "," 1,521,000.00 "," 4,563,000.00 ",-54%,,MAR
005,MOI AVENUE,FX INCOME," 135,969.00 "," 182,282.00 "," 87,000.00 "," 261,000.00 ",56%,,MAR
005,MOI AVENUE,NEW ACCOUNTS, 42.00 , 160.00 , 68.00 , 204.00 ,-38%,,MAR
005,MOI AVENUE,NFI, 938.69 ," 3,210.44 "," 2,842.72 "," 8,500.33 ",-67%,,MAR
005,MOI AVENUE,PBT," 4,909.36 "," 5,370.85 "," 4,925.84 "," 5,951.39 ",0%,,MAR
006,THIKA,NEW DEPOSITS," 22,362.78 "," 14,323.34 "," 22,421.81 "," 67,265.44 ",0%,,MAR
006,THIKA,CUMULATIVE DEPOSITS,," 92,268.46 ",," 87,315.39 ",0%,,MAR
006,THIKA,GROSS LOAN BOOK, -   ," 182,297.14 ",," 208,100.43 ",0%,,MAR
006,THIKA,DISBURSEMENTS," 2,656.19 "," 6,975.84 "," 23,027.27 "," 69,081.80 ",-88%,,MAR
006,THIKA,TRADE FINANCE," 7,000.00 "," 159,490.31 "," 157,000.00 "," 471,000.00 ",-96%,,MAR
006,THIKA,FX INCOME," 8,195.00 "," 306,479.00 "," 34,000.00 "," 102,000.00 ",-76%,,MAR
006,THIKA,NEW ACCOUNTS, 30.00 , 128.00 , 66.00 , 198.00 ,-55%,,MAR
006,THIKA,NFI, 225.37 , 828.53 ," 1,086.74 "," 3,238.98 ",-79%,,MAR
006,THIKA,PBT," 1,589.70 "," 4,349.92 "," 1,588.26 "," 5,175.91 ",0%,,MAR
007,RUIRU,NEW DEPOSITS," (23,081.40)"," (15,393.11)"," 26,176.96 "," 78,530.88 ",-188%,,MAR
007,RUIRU,CUMULATIVE DEPOSITS,," 179,696.30 ",," 223,218.75 ",0%,,MAR
007,RUIRU,GROSS LOAN BOOK, -   ," 133,120.91 ",," 194,506.68 ",0%,,MAR
007,RUIRU,DISBURSEMENTS," 1,985.35 "," 6,692.93 "," 27,721.20 "," 83,163.60 ",-93%,,MAR
007,RUIRU,TRADE FINANCE," 37,900.00 "," 128,900.00 "," 260,000.00 "," 780,000.00 ",-85%,,MAR
007,RUIRU,FX INCOME, 822.00 ," 2,302.00 "," 18,000.00 "," 54,000.00 ",-95%,,MAR
007,RUIRU,NEW ACCOUNTS, 13.00 , 80.00 , 76.00 , 228.00 ,-83%,,MAR
007,RUIRU,NFI, 257.74 , 623.17 ," 1,238.28 "," 3,691.99 ",-79%,,MAR
007,RUIRU,PBT, (167.07)," (1,248.58)", (182.16)," (1,972.19)",8%,,MAR
008,KITENGELA,NEW DEPOSITS," 9,362.61 "," 9,426.70 "," 25,398.77 "," 76,196.32 ",-63%,,MAR
008,KITENGELA,CUMULATIVE DEPOSITS,," 344,022.29 ",," 365,151.09 ",0%,,MAR
008,KITENGELA,GROSS LOAN BOOK, -   ," 336,422.73 ",," 306,256.56 ",0%,,MAR
008,KITENGELA,DISBURSEMENTS," 8,987.68 "," 17,295.50 "," 26,748.47 "," 80,245.40 ",-66%,,MAR
008,KITENGELA,TRADE FINANCE," 29,000.00 "," 274,632.00 "," 186,000.00 "," 558,000.00 ",-84%,,MAR
008,KITENGELA,FX INCOME," 64,396.00 "," 227,384.00 "," 78,000.00 "," 234,000.00 ",-17%,,MAR
008,KITENGELA,NEW ACCOUNTS, 53.00 , 224.00 , 98.00 , 294.00 ,-46%,,MAR
008,KITENGELA,NFI, 457.98 ," 1,161.31 "," 1,164.69 "," 3,473.73 ",-61%,,MAR
008,KITENGELA,PBT," (3,037.35)"," (7,113.75)"," (3,039.38)"," (8,056.40)",0%,,MAR
009,KAYOLE,NEW DEPOSITS," 4,358.67 "," 11,089.08 "," 22,176.96 "," 66,530.88 ",-80%,,MAR
009,KAYOLE,CUMULATIVE DEPOSITS,," 50,162.09 ",," 68,737.12 ",0%,,MAR
009,KAYOLE,GROSS LOAN BOOK, -   ," 210,514.49 ",," 239,849.50 ",0%,,MAR
009,KAYOLE,DISBURSEMENTS," 8,478.21 "," 21,031.56 "," 22,721.20 "," 68,163.60 ",-63%,,MAR
009,KAYOLE,TRADE FINANCE," 7,000.00 "," 21,000.00 "," 34,000.00 "," 102,000.00 ",-79%,,MAR
009,KAYOLE,FX INCOME, -   ," 7,781.00 "," 2,000.00 "," 6,000.00 ",-100%,,MAR
009,KAYOLE,NEW ACCOUNTS, 30.00 , 114.00 , 73.00 , 219.00 ,-59%,,MAR
009,KAYOLE,NFI, 363.22 ," 1,022.77 ", 862.29 ," 2,567.53 ",-58%,,MAR
009,KAYOLE,PBT," 1,035.23 "," 2,936.71 "," 1,038.91 "," 4,298.03 ",0%,,MAR
010,ELDORET,NEW DEPOSITS," (11,560.33)"," (12,912.75)"," 27,376.96 "," 82,130.88 ",-142%,,MAR
010,ELDORET,CUMULATIVE DEPOSITS,," 210,092.50 ",," 206,162.45 ",0%,,MAR
010,ELDORET,GROSS LOAN BOOK, -   ," 146,686.97 ",," 186,806.55 ",0%,,MAR
010,ELDORET,DISBURSEMENTS," 6,457.56 "," 15,278.87 "," 29,221.20 "," 87,663.60 ",-78%,,MAR
010,ELDORET,TRADE FINANCE," 477,439.00 "," 1,628,835.00 "," 828,000.00 "," 2,484,000.00 ",-42%,,MAR
010,ELDORET,FX INCOME, 975.00 ," 3,354.00 "," 59,000.00 "," 177,000.00 ",-98%,,MAR
010,ELDORET,NEW ACCOUNTS, 50.00 , 213.00 , 91.00 , 273.00 ,-45%,,MAR
010,ELDORET,NFI, 845.77 ," 2,657.44 "," 1,918.44 "," 5,731.42 ",-56%,,MAR
010,ELDORET,PBT," (3,721.79)"," (3,878.91)"," (3,715.43)"," (5,058.62)",0%,,MAR
011,MBALE,NEW DEPOSITS," 1,758.21 "," (6,477.10)"," 14,955.15 "," 44,865.44 ",-88%,,MAR
011,MBALE,CUMULATIVE DEPOSITS,," 31,430.57 ",," 36,563.02 ",0%,,MAR
011,MBALE,GROSS LOAN BOOK, -   ," 71,666.79 ",," 91,891.62 ",0%,,MAR
011,MBALE,DISBURSEMENTS," 2,561.38 "," 8,124.06 "," 13,693.93 "," 41,081.80 ",-81%,,MAR
011,MBALE,TRADE FINANCE," 13,000.00 "," 181,789.14 "," 118,000.00 "," 354,000.00 ",-89%,,MAR
011,MBALE,FX INCOME, -   , 790.00 ," 26,000.00 "," 78,000.00 ",-100%,,MAR
011,MBALE,NEW ACCOUNTS, 54.00 , 128.00 , 58.00 , 174.00 ,-7%,,MAR
011,MBALE,NFI, 179.01 , 694.21 , 649.83 ," 1,929.26 ",-72%,,MAR
011,MBALE,PBT, 787.58 , 326.86 , 792.27 , 565.51 ,-1%,,MAR
012,BIASHARA STREET,NEW DEPOSITS," 8,763.50 "," (11,924.73)"," 26,710.29 "," 80,130.88 ",-67%,,MAR
012,BIASHARA STREET,CUMULATIVE DEPOSITS,," 693,235.51 ",," 754,005.65 ",0%,,MAR
012,BIASHARA STREET,GROSS LOAN BOOK, -   ," 404,335.82 ",," 399,461.21 ",0%,,MAR
012,BIASHARA STREET,DISBURSEMENTS," 3,900.14 "," 9,752.20 "," 28,387.87 "," 85,163.60 ",-86%,,MAR
012,BIASHARA STREET,TRADE FINANCE," 1,785,872.60 "," 6,182,888.60 "," 5,552,000.00 "," 16,656,000.00 ",-68%,,MAR
